iter	Logloss
0	0.6857007453
1	0.6787470965
2	0.6721085037
3	0.6677322553
4	0.660413295
5	0.6551891861
6	0.6493587614
7	0.6439450881
8	0.6384127606
9	0.6331034727
10	0.6282648876
11	0.6235781999
12	0.6190945446
13	0.61602089
14	0.6130392591
15	0.6096521677
16	0.6063846763
17	0.6053142074
18	0.6029267305
19	0.6000807654
20	0.5982965444
21	0.5960140256
22	0.5933272075
23	0.5914237432
24	0.5892424061
25	0.5875137149
26	0.5858744883
27	0.5834433659
28	0.5814211122
29	0.5786831676
30	0.5761219696
31	0.5740458731
32	0.5722025949
33	0.5703081833
34	0.5680113981
35	0.5662548327
36	0.5639063169
37	0.5618274172
38	0.5601327242
39	0.5580028609
40	0.5565991299
41	0.554847724
42	0.5534062989
43	0.5514435067
44	0.5498851366
45	0.5487106469
46	0.547419865
47	0.5464785658
48	0.5453123274
49	0.5443045535
50	0.5430491182
51	0.5416175246
52	0.5404847365
53	0.5392655992
54	0.5377926961
55	0.536465815
56	0.5355118248
57	0.5341728018
58	0.5324627095
59	0.5314016586
60	0.5304169028
61	0.5292579436
62	0.5284697646
63	0.5277394719
64	0.5267218682
65	0.5257830783
66	0.5245289045
67	0.5237081722
68	0.5228944527
69	0.5221789314
70	0.5212842087
71	0.5208324838
72	0.5201003932
73	0.5185201024
74	0.5176324581
75	0.5163686268
76	0.5150850049
77	0.513335802
78	0.5120983887
79	0.5113056121
80	0.5106433464
81	0.5093922068
82	0.5084353926
83	0.5075025505
84	0.5064589648
85	0.505958991
86	0.5048094405
87	0.5036033262
88	0.5029131474
89	0.5022046696
90	0.5014509385
91	0.5004277994
92	0.4996107558
93	0.498791672
94	0.4973940125
95	0.4961782975
96	0.4953410208
97	0.4940365046
98	0.493186871
99	0.4927564209
100	0.4916224034
101	0.4909277602
102	0.48951769
103	0.4888926534
104	0.4881089465
105	0.4869525489
106	0.4863350176
107	0.485464564
108	0.4847916489
109	0.4840837304
110	0.483378905
111	0.4823310894
112	0.4818418068
113	0.4817752546
114	0.4811001714
115	0.4804375173
116	0.4792496633
117	0.4786589877
118	0.4781058224
119	0.477678527
120	0.4773288385
121	0.4770221338
122	0.4763035869
123	0.4757975921
124	0.4751155189
125	0.4747199568
126	0.4736676226
127	0.4731877523
128	0.4725259238
129	0.4716916675
130	0.4708621818
131	0.4703794186
132	0.4688624105
133	0.4681687328
134	0.4674807968
135	0.4662582695
136	0.4656245753
137	0.465153489
138	0.4644727249
139	0.4639512356
140	0.4632178734
141	0.4628594442
142	0.4619790157
143	0.4615563656
144	0.4601607554
145	0.4594804461
146	0.4588207371
147	0.4584543548
148	0.4577351431
149	0.4573561637
150	0.4567071571
151	0.4564170331
152	0.4559023311
153	0.4554960814
154	0.4549569742
155	0.4543751186
156	0.4531391961
157	0.4526206657
158	0.452043839
159	0.4515119982
160	0.4510813861
161	0.4505359806
162	0.4497276444
163	0.4493197419
164	0.4487408187
165	0.4484023114
166	0.4480773584
167	0.4478640946
168	0.4473395716
169	0.4469545024
170	0.4465103981
171	0.4457959188
172	0.4450961594
173	0.4443615845
174	0.4439406293
175	0.443626763
176	0.4426981956
177	0.4416252094
178	0.4411573251
179	0.4403446466
180	0.4400350944
181	0.4393877247
182	0.4390856542
183	0.4385523902
184	0.4382143365
185	0.4376875906
186	0.4369943472
187	0.4365257904
188	0.4354825471
189	0.434562925
190	0.4340732665
191	0.4337001112
192	0.4330653085
193	0.4324446749
194	0.4320792845
195	0.4309028061
196	0.4303573241
197	0.4301934384
198	0.4299574363
199	0.4292651129
200	0.4281648252
201	0.42771176
202	0.4275943985
203	0.4270258156
204	0.4258178517
205	0.4248817777
206	0.4242199896
207	0.423962955
208	0.4234228255
209	0.4227622757
210	0.4218420841
211	0.4210571148
212	0.4203681861
213	0.4196989423
214	0.4193739649
215	0.4189027973
216	0.4183307874
217	0.4179584127
218	0.4175141903
219	0.4170868793
220	0.4164927806
221	0.4160176244
222	0.4156162819
223	0.4153798821
224	0.4143847899
225	0.4139991475
226	0.4129076413
227	0.4122422537
228	0.411700947
229	0.4110498111
230	0.4105832133
231	0.4102006068
232	0.4100385883
233	0.4096319127
234	0.4094555412
235	0.408994441
236	0.408423686
237	0.4077480282
238	0.4074641927
239	0.4071358953
240	0.4068290335
241	0.4063470139
242	0.4056588089
243	0.404825417
244	0.4042002798
245	0.4039735464
246	0.4032498033
247	0.4029023364
248	0.4024449869
249	0.4019022472
250	0.4014676929
251	0.4011373357
252	0.400871626
253	0.4002494175
254	0.3997554733
255	0.3993209831
256	0.3990892555
257	0.3984822508
258	0.3983836932
259	0.3976886915
260	0.3971050439
261	0.3963613641
262	0.3957876883
263	0.3956929313
264	0.3956235415
265	0.3950501658
266	0.3943799351
267	0.3940283159
268	0.3934525567
269	0.3930237444
270	0.3923909925
271	0.3916626721
272	0.3912196733
273	0.3903719964
274	0.3903148684
275	0.3896940198
276	0.3894498225
277	0.3890390831
278	0.3886491493
279	0.3881724471
280	0.3881129488
281	0.3877923215
282	0.3873878716
283	0.3869863975
284	0.3862632216
285	0.3860209946
286	0.3856848394
287	0.385612363
288	0.3847935364
289	0.3841916992
290	0.3832105971
291	0.3826707324
292	0.3819811673
293	0.3813137345
294	0.3812360806
295	0.3809831668
296	0.3804856968
297	0.3804303351
298	0.3799878343
299	0.3796606492
